WORKORDER_BASE_ID,WORKORDER_LOT_ID,Start Part,Final Part,Start Thickness,Start Width,Start Temper,Start Surface Finish,Start Stock UM,Start Qty on hand,Start Qty on order,Final Thickness,Final Width,Final Temper,Final Surface Finish,Final Stock UM,Final Qty on hand,Final Qty on order,Product Code,Customer,Alloy,R1 Mill,R1 CR %,R1 Thick,R2 Mill,R2 CR %,R2 Thick,R3 Mill,R3 CR %,R3 Thick,R4 Mill,R4 CR %,R4 Thick,R5 Mill,R5 CR %,R5 Thick
100171,100,610177,100171,.035,14.500,ANN,2B,LB,0.0,0.0,.00275,2.0236,CR,2B (RA.1/.2 MICRONS),LB,0.0,0.0,AUTOMOTIVE,CKB AUTOMOTIVE,SS 301HT,M Z-HIGH MILL,71.42857142857143,0.01,M 14 MILL,53.99972399834398,0.0046000276001656,M 14 MILL,40.00119997600048,0.0027599613608721,,,,,,
100171,101,710524,100171,.010,13.500,ANN,2B,LB,0.0,0.0,.00275,2.0236,CR,2B (RA.1/.2 MICRONS),LB,0.0,0.0,AUTOMOTIVE,CKB AUTOMOTIVE,SS 301HT,M 14 MILL,53.99972399834398,0.0046000276001656,M 14 MILL,40.00119997600047,0.0027599613608721,,,,,,,,,
100173,100,705655,100173,.002,12.625,ANN,2B,LB,268.0,312.0,.0005,2.125,ANN,2B,LB,0.0,0.0,INSTRUMENTS,DWYER INSTRUMENTS,SS 316L,M 12 MILL #1,75.0,0.0005,,,,,,,,,,,,
100182,101,710524,100182,.010,13.500,ANN,2B,LB,0.0,0.0,.003,.625,CR,2B,LB,0.0,0.0,DOME SWTCH/MEMB,ITT INDUSTRIES,SS 301HT,M 14 MILL,58.49933598937584,0.0041500664010624,M 14 MILL,27.709101424130704,0.0030001202928232,,,,,,,,,
100184,100,710524,100184,.010,13.500,ANN,2B,LB,0.0,0.0,.002,1.750,CR,2B,LB,0.0,0.0,DOME SWTCH/MEMB,ITT INDUSTRIES,SS 301HT,M 14 MILL,72.6999726999727,0.0027300027300027,M 14 MILL,26.73992673992675,0.0020000020000019,,,,,,,,,
100185,100,710524,100185,.010,13.500,ANN,2B,LB,0.0,0.0,.002,.500,CR,2B,LB,0.0,0.0,DOME SWTCH/MEMB,ITT INDUSTRIES,SS 301HT,M 14 MILL,72.6999726999727,0.0027300027300027,M 14 MILL,26.73992673992675,0.0020000020000019,,,,,,,,,
100193,101,794562,100193,.007,12.625,CR,2B,LB,0.0,0.0,.007,2.420,ANN,2B,LB,0.0,0.0,INSTRUMENTS,ARBOR METALS,TI-GR 2,,,,,,,,,,,,,,,
100196,100,615135,100196,.040 ,9.500,ANN,2B,LB,0.0,0.0,.0038,8.000,ANN,2B,LB,0.0,0.0,DIAPHRM/PRC CTL,FOTOFABRICATION CORP.,SS 455,M 12 MILL GRP,75.0,0.01,M 12 MILL GRP,58.99958999589996,0.00410004100041,M 12 MILL GRP,7.313003985540833,0.0038002048386412,,,,,,
100203,100,730600,100203,.001,1.5,ANN,2B,LB,0.0,0.0,.001,1.500,ANN,2B,LB,0.0,0.0,DIAPHRM/PRC CTL,ROSEMOUNT ,HPM C-276,,,,,,,,,,,,,,,
100203,199,730614,100203,.004,12.250,CR ,2B,LB,248.0,150.0,.001,1.500,ANN,2B,LB,0.0,0.0,DIAPHRM/PRC CTL,ROSEMOUNT ,HPM C-276,M 12 MILL GRP,75.0,0.001,,,,,,,,,,,,
100208,100,800005,100208,.010,4.625,ANN,2B,LB,0.0,0.0,.0001,4.000,CR-90%,SG,FT,0.0,0.0,STR GAGE FOIL,DESMOND INTERNATIONAL ,CONSTANTAN,M 12 MILL GRP,80.0,0.002,F FOIL MILL #1,82.000143998848,0.000359997120023,F FOIL MILL #2,44.44444444444444,0.0001999984000127,,,,,,
100210A,100,558248B,100210A,.001,4.375,ANN,2B,LB,0.0,0.0,.0001,4.000,CR-80%,SG,FT,0.0,0.0,STR GAGE FOIL,HBM,MODCO,F FOIL MILL GRP,50.0,0.0005,F FOIL MILL #1,60.00000000000001,0.0002,F FOIL MILL #2,50.0,0.0001,,,,,,
100211,100,800054,100211,.010,4.625,ANN,2B,LB,1820.0,0.0,.0002,4.000,CR-80%,SG,FT,0.0,0.0,STR GAGE FOIL,HBM ,MODCO,M 12 MILL GRP,80.0,0.002,F FOIL MILL #1,71.99977599820798,0.0005600044800358,F FOIL MILL #2,28.571428571428577,0.0004000032000256,,,,,,
100211,101,800055,100211,.001,4.312,ANN,2B,LB,0.0,0.0,.0002,4.000,CR-80%,SG,FT,0.0,0.0,STR GAGE FOIL,HBM ,MODCO,F FOIL MILL #1,71.99977599820798,0.0002800022400179,F FOIL MILL #2,28.571428571428577,0.0002000016000128,,,,,,,,,
100213C,100,753657P,100213C,.002,4.375,ANN,2B,LB,6.0,0.0,.0002,4.000,CR-90%,SG,FT,0.0,0.0,STR GAGE FOIL,SCAIME S A,CONSTANTAN,F FOIL MILL #1,86.4999864999865,0.0002700002700002,F FOIL MILL #2,25.92592592592593,0.0002000002000002,,,,,,,,,
100213C,101,301645,100213C,.0002,4.000,CR-90% ,SG,FT,0.0,0.0,.0002,4.000,CR-90%,SG,FT,0.0,0.0,STR GAGE FOIL,SCAIME S A,CONSTANTAN,,,,,,,,,,,,,,,
100213C,102,301346,100213C,.00027,4.000,CR,2B,LB,11.5,0.0,.0002,4.000,CR-90%,SG,FT,0.0,0.0,STR GAGE FOIL,SCAIME S A,CONSTANTAN,F FOIL MILL #2,25.925925925925924,0.0002,,,,,,,,,,,,
100221,100,702177,100221,.035,6.750,ANN,2B,LB,0.0,0.0,.001,.750,3/4 H,2B,LB,0.0,0.0,MISC,THOMAS ENGINEERING COMPANY,SS 302,M 12 MILL GRP,77.14337957989532,0.0079998171470366,M 12 MILL GRP,68.75,0.0024999428584489,M 12 MILL GRP,60.01599360255898,0.0009995773124545,,,,,,
100222,100,717500,100222,.012,7.750,ANN,2B,LB,486.0,785.0625,.0019685,5.9055,CR,2B,LB,0.0,0.0,MISC,GOODFELLOW CAMBRIDGE LTD,HAVAR,M 12 MILL GRP,83.33333333333334,0.002,,,,,,,,,,,,
100228,100,620106,100228,.045,10.875,ANN,2B,LB,0.0,22260.0,.006,.750,CC,2B,LB,20.88,0.0,AUTOMOTIVE,SENSATA TECHNOLOGIES INC,SS 17-7,M Z-HIGH MILL,66.66666666666666,0.015,M Z-HIGH MILL,60.0,0.006,,,,,,,,,
100228,101,300823,100228,.0075,2.500,CC,2B,LB,0.0,0.0,.006,.750,CC,2B,LB,20.88,0.0,AUTOMOTIVE,SENSATA TECHNOLOGIES INC,SS 17-7,M 12 MILL GRP,20.0,0.006,,,,,,,,,,,,
100232A,100,733555,100232A,.008,12.375,ANN,2B,LB,564.0,0.0,.001 ,4.125,FH,2B,LB,0.0,0.0,INSTRUMENTS,MKS INSTRUMENTS ,HPM X 750,M 12 MILL #2,68.75,0.0025,M 12 MILL #1,60.0,0.001,,,,,,,,,
100232A,101,300499,100232A,.00398,9.843,ANN,2B,LB,0.0,0.0,.001 ,4.125,FH,2B,LB,0.0,0.0,INSTRUMENTS,MKS INSTRUMENTS ,HPM X 750,M 12 MILL #2,37.18592964824119,0.0025,M 12 MILL #1,60.0,0.001,,,,,,,,,
100232A,102,301343,100232A,.008,12.500,CR,2B,LB,0.0,0.0,.001 ,4.125,FH,2B,LB,0.0,0.0,INSTRUMENTS,MKS INSTRUMENTS ,HPM X 750,M 12 MILL #2,68.75,0.0025,M 12 MILL #1,60.0,0.001,,,,,,,,,
100001,105,701622,100001,.004,13.250,CR,2B,LB,0.0,0.0,.004,.750,CR,2B,LB,0.0,1000.0,DOME SWTCH/MEMB,PENN UNITED TECHNOLOGY INC.,SS 304,,,,,,,,,,,,,,,
100001,200,602180,100001,.035,13.500,ANN,2B,LB,16281.0,-4110.0,.004,.750,CR,2B,LB,0.0,1000.0,DOME SWTCH/MEMB,PENN UNITED TECHNOLOGY INC.,SS 304,M Z-HIGH MILL,71.42857142857143,0.01,M 14 MILL,60.0,0.004,,,,,,,,,
100001,201,602028,100001,.060 ,14.500,ANN,2B,LB,0.0,0.0,.004,.750,CR,2B,LB,0.0,1000.0,DOME SWTCH/MEMB,PENN UNITED TECHNOLOGY INC.,SS 304,M Z-HIGH MILL,83.33333333333333,0.01,M 14 MILL,60.0,0.004,,,,,,,,,
100001,300,602180,100001,.035,13.500,ANN,2B,LB,16281.0,-4110.0,.004,.750,CR,2B,LB,0.0,1000.0,DOME SWTCH/MEMB,PENN UNITED TECHNOLOGY INC.,SS 304,M Z-HIGH MILL,71.42857142857143,0.01,M 14 MILL,60.0,0.004,,,,,,,,,
100002,100,794470,100002,.012,12.375,ANN,BB,LB,240.0,13320.0,.012,2.625,ANN,BB,LB,0.0,1018.34,MED: IMPLANT,"GREATBATCH, INC.",TI-GR 1,,,,,,,,,,,,,,,
100002,101,100343,100002,.012,3.250,ANN,BB,LB,0.0,4799.3,.012,2.625,ANN,BB,LB,0.0,1018.34,MED: IMPLANT,"GREATBATCH, INC.",TI-GR 1,,,,,,,,,,,,,,,
100002,102,794481,100002,.012,12.375,ANN,2B,LB,425.0,4239.0,.012,2.625,ANN,BB,LB,0.0,1018.34,MED: IMPLANT,"GREATBATCH, INC.",TI-GR 1,,,,,,,,,,,,,,,
100002,103,694297,100002,.012,3.125,ANN,2B,LB,0.0,0.0,.012,2.625,ANN,BB,LB,0.0,1018.34,MED: IMPLANT,"GREATBATCH, INC.",TI-GR 1,,,,,,,,,,,,,,,
100005A,100,800076A,100005A,.010,4.75,ANN,2B,LB,0.0,0.0,.0002,4.000,CR-90%,SG,FT,0.0,0.0,STR GAGE FOIL,HBM,CONSTANTAN,M 12 MILL GRP,80.0,0.002,F FOIL MILL #1,86.4999864999865,0.0002700002700002,F FOIL MILL #2,25.92592592592593,0.0002000002000002,,,,,,
100005A,101,800076A,100005A,.010,4.75,ANN,2B,LB,0.0,0.0,.0002,4.000,CR-90%,SG,FT,0.0,0.0,STR GAGE FOIL,HBM,CONSTANTAN,M 12 MILL GRP,80.0,0.002,F FOIL MILL #1,86.4999864999865,0.0002700002700002,F FOIL MILL #2,25.92592592592593,0.0002000002000002,,,,,,
100005C,100,800467,100005C,.002,4.375,CR,2B,LB,0.0,0.0,.0002,4.000,CR-90%,SG,FT,0.0,0.0,STR GAGE FOIL,HBM,CONSTANTAN,F FOIL MILL #1,86.4999864999865,0.0002700002700002,F FOIL MILL #2,25.92592592592593,0.0002000002000002,,,,,,,,,
100019,100,774662,100019,.002,3.875,ANN,2B,LB,0.0,0.0,.00019,3.500,CR,2B,FT,9353.4767,108336.5475,AEROSPACE,COLLINS AEROSPACE,HPM 404,F FOIL MILL GRP,81.00015199878402,0.0003799969600243,,,,,,,,,,,,
100143,104,300385,100143,.002,.125,CR-80-84%,2B,LB,0.0,0.0,.002,.125,CR,2B,LB,0.1,0.0,DIAPHRM/PRC CTL,JOHN EVANS SONS ,HAVAR,,,,,,,,,,,,,,,
100143,105,300392,100143,.002,1.201,CR,2B,LB,0.0,0.0,.002,.125,CR,2B,LB,0.1,0.0,DIAPHRM/PRC CTL,JOHN EVANS SONS ,HAVAR,,,,,,,,,,,,,,,
100143,106,300394,100143,.002,7.600,CR,2B,LB,9.0,77.0,.002,.125,CR,2B,LB,0.1,0.0,DIAPHRM/PRC CTL,JOHN EVANS SONS ,HAVAR,,,,,,,,,,,,,,,
100143,107,717539,100143,.010,3.875,ANN,2B,LB,0.0,0.0,.002,.125,CR,2B,LB,0.1,0.0,DIAPHRM/PRC CTL,JOHN EVANS SONS ,HAVAR,M 12 MILL GRP,80.0,0.002,,,,,,,,,,,,
100143,108,717659,100143,.002,1.2,CR - 80%,2B,FT,0.0,8.2231,.002,.125,CR,2B,LB,0.1,0.0,DIAPHRM/PRC CTL,JOHN EVANS SONS ,HAVAR,,,,,,,,,,,,,,,
100232A,103,733624,100232A,.004,12.125,CR,2B,LB,0.0,0.0,.001 ,4.125,FH,2B,LB,0.0,0.0,INSTRUMENTS,MKS INSTRUMENTS ,HPM X 750,M 12 MILL #2,37.5,0.0025,M 12 MILL #1,60.0,0.001,,,,,,,,,
100232A,104,733555,100232A,.008,12.375,ANN,2B,LB,564.0,0.0,.001 ,4.125,FH,2B,LB,0.0,0.0,INSTRUMENTS,MKS INSTRUMENTS ,HPM X 750,M 14 MILL,68.75,0.0025,M 14 MILL,60.0,0.001,,,,,,,,,
100233A,100,633130,100233A,.040,12.625,ANN,2B,LB,1976.0,0.0,.004,4.125,FH,2B,LB,0.0,0.0,INSTRUMENTS,MKS INSTRUMENTS,HPM X 750,M 12 MILL #2,75.0,0.01,M 12 MILL #2,60.0,0.004,,,,,,,,,
100233A,102,633130,100233A,.040,12.625,ANN,2B,LB,1976.0,0.0,.004,4.125,FH,2B,LB,0.0,0.0,INSTRUMENTS,MKS INSTRUMENTS,HPM X 750,M Z-HIGH MILL,75.0,0.01,M 12 MILL #2,60.0,0.004,,,,,,,,,
100234,100,754023,100234,.062,12.625,ANN.,2B,LB,0.0,0.0,.002,12.000,ANN,2B,LB,0.0,0.0,MISC,HI TEMP INSULATION INC.,HPM 80/20A,M 12 MILL GRP,87.09677419354838,0.008,M 12 MILL GRP,75.0,0.002,,,,,,,,,
100237,100,800052,100237,.003,6.250,ANN,,LB,0.0,0.0,.0005,.188,CR,2B,LB,0.0,0.0,TV: CATHODE,PHOTONIS USA PENNSYLVANIA INC,TANTALUM,F FOIL MILL GRP,83.33333333333334,0.0005,,,,,,,,,,,,
100237,101,800059,100237,.0075,7.874,ANN,2B,LB,0.0,0.0,.0005,.188,CR,2B,LB,0.0,0.0,TV: CATHODE,PHOTONIS USA PENNSYLVANIA INC,TANTALUM,M 12 MILL GRP,73.33333333333333,0.002,F FOIL MILL GRP,75.0,0.0005,,,,,,,,,
100240,100,611177,100240,.035,14.500,ANN,2B,LB,0.0,1677.0,.0122,.875,SR,2B,LB,0.0,0.0,AUTOMOTIVE,SENSATA TECHNOLOGIES DE MEXICO S DE R L DE C V,SS 301ESR,M Z-HIGH MILL,14.288163195337273,0.0299991428816319,M Z-HIGH MILL,59.3330622204148,0.0121997327700821,,,,,,,,,
100240,200,611177,100240,.035,14.500,ANN,2B,LB,0.0,1677.0,.0122,.875,SR,2B,LB,0.0,0.0,AUTOMOTIVE,SENSATA TECHNOLOGIES DE MEXICO S DE R L DE C V,SS 301ESR,M Z-HIGH MILL,14.288163195337273,0.0299991428816319,M Z-HIGH MILL,59.3330622204148,0.0121997327700821,,,,,,,,,
100242,100,662376,100242,.020,14.000,ANN,2B,LB,0.0,0.0,.0056,1.750,CR,2B,LB,0.0,0.0,MED: INSTRUMENT,WELCH ALLYN,PH BRONZE A,M 14 MILL,54.499954499954505,0.0091000091000091,M 14 MILL,37.91133738979264,0.0056500739476028,,,,,,,,,
100242,101,662378,100242,.020,13.500,ANN ,2B,LB,0.0,0.0,.0056,1.750,CR,2B,LB,0.0,0.0,MED: INSTRUMENT,WELCH ALLYN,PH BRONZE A,M 14 MILL,54.499954499954505,0.0091000091000091,M 14 MILL,37.91133738979264,0.0056500739476028,,,,,,,,,
100242,102,662381,100242,.020,12.000,ANN,2B,LB,49.0,0.0,.0056,1.750,CR,2B,LB,0.0,0.0,MED: INSTRUMENT,WELCH ALLYN,PH BRONZE A,M 14 MILL,54.499954499954505,0.0091000091000091,M 14 MILL,37.91133738979264,0.0056500739476028,,,,,,,,,
100242,108,662376,100242,.020,14.000,ANN,2B,LB,0.0,0.0,.0056,1.750,CR,2B,LB,0.0,0.0,MED: INSTRUMENT,WELCH ALLYN,PH BRONZE A,M 14 MILL,54.499954499954505,0.0091000091000091,M 14 MILL,37.91133738979264,0.0056500739476028,,,,,,,,,
100242,400,662381,100242,.020,12.000,ANN,2B,LB,49.0,0.0,.0056,1.750,CR,2B,LB,0.0,0.0,MED: INSTRUMENT,WELCH ALLYN,PH BRONZE A,M 14 MILL,54.499954499954505,0.0091000091000091,M 14 MILL,37.91133738979264,0.0056500739476028,,,,,,,,,
100244B,100,658088,100244B,.010,4.625,ANN,2B,LB,0.0,0.0,.010,4.625,ANN,2B,LB,0.0,0.0,STR GAGE FOIL,HBM,MODCO,,,,,,,,,,,,,,,
100244D,100,658090,100244D,.010,4.625,ANN,2B,LB,0.0,0.0,.010,4.625,ANN,2B,LB,0.0,0.0,STR GAGE FOIL,HOTTINGER BALDWIN MESSTECHNIK,MODCO,,,,,,,,,,,,,,,
100244E,100,658090,100244E,.010,4.625,ANN,2B,LB,0.0,0.0,.010,4.625,ANN,2B,LB,0.0,0.0,STR GAGE FOIL,HOTTINGER BALDWIN MESSTECHNIK,MODCO,,,,,,,,,,,,,,,
100255,100,794481,100255,.012,12.375,ANN,2B,LB,425.0,4239.0,.012,3.000,ANN,2B (8 RA OR BETTER),LB,0.0,98.7,MED: IMPLANT,"GREATBATCH, INC.",TI-GR 1,,,,,,,,,,,,,,,
100257,100,717500,100257,.012,7.750,ANN,2B,LB,486.0,785.0625,.003,.628,HT,2B,LB,0.0,0.0,SPRINGS,K & E MANUFACTURING CO.,HAVAR,M 12 MILL GRP,75.00000000000001,0.003,,,,,,,,,,,,
100019,101,774675,100019,.00019,3.500,CR,2B,FT,0.0,0.0,.00019,3.500,CR,2B,FT,9353.4767,108336.5475,AEROSPACE,COLLINS AEROSPACE,HPM 404,,,,,,,,,,,,,,,
100019,102,774677,100019,.00019,4.375,CR,2B,FT,0.0,0.0,.00019,3.500,CR,2B,FT,9353.4767,108336.5475,AEROSPACE,COLLINS AEROSPACE,HPM 404,,,,,,,,,,,,,,,
100019,103,774665,100019,.002,4.375,ANN,2B,LB,335.0,0.0,.00019,3.500,CR,2B,FT,9353.4767,108336.5475,AEROSPACE,COLLINS AEROSPACE,HPM 404,F FOIL MILL GRP,81.00015199878402,0.0003799969600243,,,,,,,,,,,,
100019,104,774665,100019,.002,4.375,ANN,2B,LB,335.0,0.0,.00019,3.500,CR,2B,FT,9353.4767,108336.5475,AEROSPACE,COLLINS AEROSPACE,HPM 404,F FOIL MILL GRP,81.00015199878402,0.0003799969600243,,,,,,,,,,,,
100019,105,774652,100019,.00032,3.875,CR,2B,FT,0.0,0.0,.00019,3.500,CR,2B,FT,9353.4767,108336.5475,AEROSPACE,COLLINS AEROSPACE,HPM 404,F FOIL MILL GRP,40.62462890393065,0.0001900011875074,,,,,,,,,,,,
100019,106,774665,100019,.002,4.375,ANN,2B,LB,335.0,0.0,.00019,3.500,CR,2B,FT,9353.4767,108336.5475,AEROSPACE,COLLINS AEROSPACE,HPM 404,F FOIL MILL GRP,81.00015199878402,0.0003799969600243,,,,,,,,,,,,
100143,109,101052,100143,.002,6.000,CR,2B,LB,2.8,0.0,.002,.125,CR,2B,LB,0.1,0.0,DIAPHRM/PRC CTL,JOHN EVANS SONS ,HAVAR,,,,,,,,,,,,,,,
100143,110,300391,100143,.002,1.200,CR 80-84% & HT,2B,LB,0.0,0.0,.002,.125,CR,2B,LB,0.1,0.0,DIAPHRM/PRC CTL,JOHN EVANS SONS ,HAVAR,,,,,,,,,,,,,,,
100143,112,301848,100143,.00236,3.000,CR-78-80%,2B,LB,15.0,0.0,.002,.125,CR,2B,LB,0.1,0.0,DIAPHRM/PRC CTL,JOHN EVANS SONS ,HAVAR,M 12 MILL GRP,15.254237288135595,0.002,,,,,,,,,,,,
100145,100,618026,100145,.062  ,12.563,ANN,2B,LB,0.0,0.0,.009,12.000,ANN,2B,LB,0.0,0.0,DIAPHRM/PRC CTL,BRISTOL BABCOCK INC,NI SPAN C,M 12 MILL GRP,85.4838943808155,0.0089999854838943,,,,,,,,,,,,
100145,101,618026,100145,.062  ,12.563,ANN,2B,LB,0.0,0.0,.009,12.000,ANN,2B,LB,0.0,0.0,DIAPHRM/PRC CTL,BRISTOL BABCOCK INC,NI SPAN C,M 12 MILL GRP,85.4838943808155,0.0089999854838943,,,,,,,,,,,,
100146,100,672033,100146,.060,7.375,CR,2B,LB,0.0,0.0,.002,2.880,ANN,2B (MIRROR),LB,0.0,0.0,CONNECTRS/ELECT,3 M COMPANY,NI 270,M 12 MILL #2,83.33333333333333,0.01,M 12 MILL #2,80.0,0.002,,,,,,,,,
